shapeid,xp,yp,Traffic,Train,Industrial
237.0,1204,535,61,0,0
237.0,1202,533,61,0,0
238.0,1212,538,53,0,0
238.0,1215,536,53,0,0
239.0,1216,542,61,0,0
239.0,1218,541,61,0,0
240.0,1209,551,61,0,0
240.0,1214,547,61,0,0
241.0,1214,547,61,0,0
241.0,1217,544,61,0,0
242.0,1217,544,61,0,0
242.0,1222,540,61,0,0
243.0,1209,551,61,0,0
243.0,1207,549,61,0,0
244.0,1216,559,61,0,0
244.0,1209,551,61,0,0
245.0,1205,555,61,0,0
245.0,1206,554,61,0,0
245.0,1209,551,61,0,0
246.0,1204,552,61,0,0
246.0,1207,549,61,0,0
247.0,1207,549,61,0,0
247.0,1210,547,61,0,0
248.0,1210,547,61,0,0
248.0,1212,545,61,0,0
249.0,1212,545,61,0,0
249.0,1216,542,61,0,0
250.0,1218,541,61,0,0
250.0,1221,538,61,0,0
251.0,1229,544,61,0,0
251.0,1228,543,61,0,0
251.0,1227,542,61,0,0
251.0,1225,537,61,0,0
251.0,1225,537,61,0,0
251.0,1223,533,61,0,0
251.0,1222,532,61,0,0
252.0,1222,532,61,0,0
252.0,1215,521,61,0,0
253.0,1231,547,61,0,0
253.0,1229,544,61,0,0
254.0,1233,550,61,0,0
254.0,1231,547,61,0,0
255.0,1233,550,61,0,0
255.0,1235,553,61,0,0
256.0,1219,534,61,0,0
256.0,1222,532,61,0,0
257.0,1209,534,53,0,0
257.0,1207,532,53,0,0
258.0,1235,523,65,0,0
258.0,1229,513,65,0,0
259.0,1197,554,65,0,0
259.0,1192,548,65,0,0
260.0,1192,548,65,0,0
260.0,1188,542,65,0,0
260.0,1186,539,65,0,0
261.0,1200,558,65,0,0
261.0,1197,554,65,0,0
262.0,1204,564,65,0,0
262.0,1200,558,65,0,0
263.0,1213,575,65,0,0
263.0,1204,564,65,0,0
264.0,1194,573,61,0,0
264.0,1198,569,61,0,0
265.0,1198,569,61,0,0
265.0,1201,566,61,0,0
266.0,1201,566,61,0,0
266.0,1204,564,61,0,0
267.0,1191,578,61,0,0
267.0,1194,573,61,0,0
268.0,1213,575,70,0,0
268.0,1215,574,70,0,0
268.0,1217,572,70,0,0
269.0,1217,572,70,0,0
269.0,1218,572,70,0,0
270.0,1194,573,61,0,0
